pve,sample_size,scenario,power
0.1,1500,MPP 50000 WG,1
0.1,2000,MPP 50000 WG,1
0.1,3000,MPP 50000 WG,1
0.1,5000,MPP 50000 WG,1
0.01,100,MPP 50000 Cis-only,0
0.01,150,MPP 50000 Cis-only,0
0.01,200,MPP 50000 Cis-only,0
0.01,300,MPP 50000 Cis-only,0
0.01,400,MPP 50000 Cis-only,0
0.01,500,MPP 50000 Cis-only,0.004
0.01,750,MPP 50000 Cis-only,0.008
0.01,1000,MPP 50000 Cis-only,0.028
0.01,1500,MPP 50000 Cis-only,0.113
0.01,2000,MPP 50000 Cis-only,0.283
0.01,3000,MPP 50000 Cis-only,0.672
0.01,5000,MPP 50000 Cis-only,0.981
0.02,100,MPP 50000 Cis-only,0
0.02,150,MPP 50000 Cis-only,0.001
0.02,200,MPP 50000 Cis-only,0.001
0.02,300,MPP 50000 Cis-only,0.004
0.02,400,MPP 50000 Cis-only,0.02
0.02,500,MPP 50000 Cis-only,0.023
0.02,750,MPP 50000 Cis-only,0.122
0.02,1000,MPP 50000 Cis-only,0.297
0.02,1500,MPP 50000 Cis-only,0.696
0.02,2000,MPP 50000 Cis-only,0.906
0.02,3000,MPP 50000 Cis-only,1
0.02,5000,MPP 50000 Cis-only,1
0.05,100,MPP 50000 Cis-only,0.001
0.05,150,MPP 50000 Cis-only,0.004
0.05,200,MPP 50000 Cis-only,0.029
0.05,300,MPP 50000 Cis-only,0.129
0.05,400,MPP 50000 Cis-only,0.302
0.05,500,MPP 50000 Cis-only,0.547
0.05,750,MPP 50000 Cis-only,0.884
0.05,1000,MPP 50000 Cis-only,0.978
0.05,1500,MPP 50000 Cis-only,1
0.05,2000,MPP 50000 Cis-only,1
0.05,3000,MPP 50000 Cis-only,1
0.05,5000,MPP 50000 Cis-only,1
0.1,100,MPP 50000 Cis-only,0.036
0.1,150,MPP 50000 Cis-only,0.131
0.1,200,MPP 50000 Cis-only,0.335
0.1,300,MPP 50000 Cis-only,0.752
0.1,400,MPP 50000 Cis-only,0.942
0.1,500,MPP 50000 Cis-only,0.988
0.1,750,MPP 50000 Cis-only,1
0.1,1000,MPP 50000 Cis-only,1
0.1,1500,MPP 50000 Cis-only,1
0.1,2000,MPP 50000 Cis-only,1
0.1,3000,MPP 50000 Cis-only,1
0.1,5000,MPP 50000 Cis-only,1
0.01,100,Outbred 1 WG,0
0.01,150,Outbred 1 WG,0
0.01,200,Outbred 1 WG,0
0.01,300,Outbred 1 WG,0
0.01,400,Outbred 1 WG,0.001
0.01,500,Outbred 1 WG,0
0.01,750,Outbred 1 WG,0.002
0.01,1000,Outbred 1 WG,0.008
0.01,1500,Outbred 1 WG,0.03
0.01,2000,Outbred 1 WG,0.135
0.01,3000,Outbred 1 WG,0.453
0.01,5000,Outbred 1 WG,0.928
0.02,100,Outbred 1 WG,0
0.02,150,Outbred 1 WG,0
0.02,200,Outbred 1 WG,0
0.02,300,Outbred 1 WG,0.003
0.02,400,Outbred 1 WG,0.001
0.02,500,Outbred 1 WG,0.006
0.02,750,Outbred 1 WG,0.049
0.02,1000,Outbred 1 WG,0.142
0.02,1500,Outbred 1 WG,0.443
0.02,2000,Outbred 1 WG,0.799
0.02,3000,Outbred 1 WG,0.987
0.02,5000,Outbred 1 WG,1
0.05,100,Outbred 1 WG,0
0.05,150,Outbred 1 WG,0.002
0.05,200,Outbred 1 WG,0.004
0.05,300,Outbred 1 WG,0.042
0.05,400,Outbred 1 WG,0.126
0.05,500,Outbred 1 WG,0.315
0.05,750,Outbred 1 WG,0.73
0.05,1000,Outbred 1 WG,0.939
0.05,1500,Outbred 1 WG,1
0.05,2000,Outbred 1 WG,1
0.05,3000,Outbred 1 WG,1
0.05,5000,Outbred 1 WG,1
0.1,100,Outbred 1 WG,0.004
0.1,150,Outbred 1 WG,0.046
0.1,200,Outbred 1 WG,0.13
0.1,300,Outbred 1 WG,0.505
0.1,400,Outbred 1 WG,0.821
0.1,500,Outbred 1 WG,0.955
0.1,750,Outbred 1 WG,1
0.1,1000,Outbred 1 WG,1
0.1,1500,Outbred 1 WG,1
